agency_id,state_name,region_name,agency_type_name
33832,California,West,State Police
33834,California,West,State Police
33836,California,West,State Police
33838,California,West,State Police
33840,California,West,State Police
33842,California,West,State Police
33844,California,West,State Police
33846,California,West,State Police
33848,California,West,State Police
33850,California,West,State Police
33852,California,West,State Police
33854,California,West,State Police
33856,California,West,State Police
33858,California,West,State Police
33860,California,West,State Police
33862,California,West,State Police
33864,California,West,State Police
33866,California,West,State Police
33870,California,West,State Police
33872,California,West,State Police
33876,California,West,State Police
33878,California,West,State Police
33882,California,West,State Police
33884,California,West,State Police
33888,California,West,State Police
33892,California,West,State Police
33900,California,West,State Police
33910,California,West,State Police
33912,California,West,State Police
33914,California,West,State Police
33916,California,West,State Police
33918,California,West,State Police
33920,California,West,State Police
33922,California,West,State Police
33924,California,West,State Police
33926,California,West,State Police
33928,California,West,State Police
33932,California,West,State Police
33942,California,West,State Police
33944,California,West,State Police
33946,California,West,State Police
33948,California,West,State Police
33950,California,West,State Police
33952,California,West,State Police
33954,California,West,State Police
33960,California,West,State Police
33962,California,West,State Police
33964,California,West,State Police
33966,California,West,State Police
33968,California,West,State Police
33970,California,West,State Police
33974,California,West,State Police
33976,California,West,State Police
33978,California,West,State Police
33980,California,West,State Police
33982,California,West,State Police
33986,California,West,State Police
33988,California,West,State Police
33990,California,West,State Police
33992,California,West,State Police
33996,California,West,State Police
33998,California,West,State Police
34002,California,West,State Police
34004,California,West,State Police
34006,California,West,State Police
34010,California,West,State Police
34014,California,West,State Police
34016,California,West,State Police
34018,California,West,State Police
34022,California,West,State Police
34024,California,West,State Police
34026,California,West,State Police
34028,California,West,State Police
34030,California,West,State Police
34032,California,West,State Police
34034,California,West,State Police
34036,California,West,State Police
34038,California,West,State Police
34040,California,West,State Police
34042,California,West,State Police
34044,California,West,State Police
34048,California,West,State Police
34050,California,West,State Police
34052,California,West,State Police
34054,California,West,State Police
34056,California,West,State Police
34058,California,West,State Police
34060,California,West,State Police
34062,California,West,State Police
34064,California,West,State Police
34066,California,West,State Police
34068,California,West,State Police
34070,California,West,State Police
34072,California,West,State Police
34074,California,West,State Police
34076,California,West,State Police
34078,California,West,State Police
34080,California,West,State Police
34082,California,West,State Police
34084,California,West,State Police
34086,California,West,State Police
34088,California,West,State Police
34090,California,West,State Police
34092,California,West,State Police
34094,California,West,State Police
34096,California,West,State Police
34098,California,West,State Police
34100,California,West,State Police
34102,California,West,State Police
34104,California,West,State Police
34106,California,West,State Police
34108,California,West,State Police
34110,California,West,State Police
34112,California,West,State Police
34114,California,West,State Police
34118,California,West,State Police
34122,California,West,State Police
34130,California,West,University or College
35721,California,West,City
35723,California,West,University or College
35725,California,West,City
1528,California,West,City
35727,California,West,Other State Agency
35729,California,West,Other State Agency
35731,California,West,City
35733,California,West,University or College
35735,California,West,City
35737,California,West,City
35795,California,West,Other State Agency
35799,California,West,University or College
1529,California,West,City
1530,California,West,University or College
1534,California,West,Other State Agency
1536,California,West,Other State Agency
1537,California,West,Other State Agency
1539,California,West,University or College
1540,California,West,University or College
1543,California,West,City
1544,California,West,City
1545,California,West,City
1546,California,West,City
1547,California,West,City
1551,California,West,University or College
1558,California,West,University or College
1562,California,West,City
1565,California,West,City
1566,California,West,City
1567,California,West,City
1572,California,West,Other
1577,California,West,County
1578,California,West,City
1579,California,West,City
1581,California,West,City
1584,California,West,University or College
1585,California,West,City
1587,California,West,Other State Agency
1589,California,West,Other State Agency
1594,California,West,County
1595,California,West,City
1596,California,West,City
1597,California,West,City
1598,California,West,City
1599,California,West,City
1600,California,West,City
1602,California,West,City
1603,California,West,City
1605,California,West,City
1607,California,West,City
1608,California,West,City
1610,California,West,City
1611,California,West,City
1613,California,West,City
1614,California,West,City
1619,California,West,City
1624,California,West,City
1625,California,West,City
1626,California,West,City
1635,California,West,University or College
1642,California,West,City
1643,California,West,City
1645,California,West,City
1646,California,West,City
1647,California,West,City
1648,California,West,City
1649,California,West,City
1650,California,West,City
1652,California,West,City
1654,California,West,City
1655,California,West,University or College
1661,California,West,University or College
1666,California,West,County
1670,California,West,City
1674,California,West,Other State Agency
959,California,West,City
977,California,West,City
989,California,West,City
1001,California,West,City
944,California,West,City
1146,California,West,City
1011,California,West,City
1197,California,West,City
1057,California,West,Other State Agency
1211,California,West,City
1283,California,West,City
1349,California,West,City
1350,California,West,City
1354,California,West,City
1315,California,West,City
1491,California,West,University or College
1507,California,West,University or College
1365,California,West,City
1392,California,West,County
1397,California,West,City
1418,California,West,City
1420,California,West,City
1430,California,West,City
1442,California,West,University or College
1450,California,West,County
1453,California,West,City
1465,California,West,City
1561,California,West,County
1478,,,
1564,California,West,City
1580,California,West,City
1582,California,West,City
1732,California,West,City
1640,California,West,City
1752,California,West,County
1767,California,West,County
1651,California,West,City
1778,California,West,University or College
1789,California,West,City
1818,California,West,City
1825,California,West,Tribal
33898,California,West,State Police
33934,California,West,State Police
33958,California,West,State Police
1667,California,West,City
1668,California,West,City
1669,California,West,City
1677,California,West,County
1679,California,West,City
1698,California,West,City
37901,California,West,University or College
37965,California,West,University or College
38602,California,West,Other State Agency
38604,California,West,Other State Agency
38606,California,West,Other State Agency
38610,California,West,Other State Agency
